Ranking,City,State,Population
188,Olathe,KS,"141,290"
189,Gainesville,FL,"141,085"
190,McAllen,TX,"142,210"
191,Syracuse,NY,"148,620"
192,Waco,TX,"138,486"
193,Visalia,CA,"141,384"
194,Thornton,CO,"141,867"
195,Torrance,CA,"147,067"
196,Fullerton,CA,"143,617"
197,Columbia,SC,"136,632"
198,Lakewood,NJ,"135,158"
199,New Haven,CT,"134,023"
200,Hampton,VA,"137,148"
201,Miramar,FL,"134,721"
202,Victorville,CA,"134,810"
203,Warren,MI,"139,387"
204,West Valley City,UT,"140,230"
205,Cedar Rapids,IA,"137,710"
206,Stamford,CT,"135,470"
207,Orange,CA,"139,911"
208,Dayton,OH,"137,644"
209,Midland,TX,"132,524"
210,Kent,WA,"136,588"
211,Elizabeth,NJ,"137,298"
212,Pasadena,CA,"138,699"
213,Carrollton,TX,"133,434"
214,Coral Springs,FL,"134,394"
215,Sterling Heights,MI,"134,346"
216,Fargo,ND,"125,990"
217,Lewisville,TX,"111,822"
218,Meridian,ID,"117,635"
219,Norman,OK,"128,026"
220,Palm Bay,FL,"119,760"
221,Athens,GA,"127,315"
222,Columbia,MO,"126,254"
223,Abilene,TX,"125,182"
224,Pearland,TX,"125,828"
225,Santa Clara,CA,"127,647"
226,Round Rock,TX,"119,468"
227,Topeka,KS,"126,587"
228,Allentown,PA,"125,845"
229,Clovis,CA,"120,124"
230,Simi Valley,CA,"126,356"
231,College Station,TX,"120,511"
232,Thousand Oaks,CA,"126,966"
233,Vallejo,CA,"126,090"
234,Concord,CA,"125,410"
235,Rochester,MN,"121,395"
236,Arvada,CO,"124,402"
237,Lafayette,LA,"121,374"
238,Independence,MO,"123,011"
239,West Palm Beach,FL,"117,415"
240,Hartford,CT,"121,054"
241,Wilmington,NC,"115,451"
242,Lakeland,FL,"112,641"
243,Billings,MT,"117,116"
244,Ann Arbor,MI,"123,851"
245,Fairfield,CA,"119,881"
246,Berkeley,CA,"124,321"
247,Richardson,TX,"119,469"
248,North Charleston,SC,"114,852"
249,Cambridge,MA,"118,403"
250,Broken Arrow,OK,"113,540"
251,Clearwater,FL,"117,292"
252,West Jordan,UT,"116,961"
253,Evansville,IN,"117,298"
254,League City,TX,"114,392"
255,Antioch,CA,"115,291"
256,Manchester,NH,"115,644"
257,High Point,NC,"114,059"
258,Waterbury,CT,"114,403"
259,Westminster,CO,"116,317"
260,Richmond,CA,"116,448"
261,Carlsbad,CA,"114,746"
262,Las Cruces,NM,"111,385"
263,Murrieta,CA,"110,949"
264,Lowell,MA,"115,554"
265,Provo,UT,"115,162"
266,Springfield,IL,"114,394"
267,Elgin,IL,"114,797"
268,Odessa,TX,"114,428"
269,Lansing,MI,"112,644"
270,Pompano Beach,FL,"112,046"
271,Beaumont,TX,"115,282"
272,Temecula,CA,"110,003"
273,Gresham,OR,"114,247"
274,Allen,TX,"104,627"
275,Pueblo,CO,"111,876"
276,Everett,WA,"110,629"
277,South Fulton,GA,"107,436"
278,Peoria,IL,"113,150"
279,Nampa,ID,"100,200"
280,Tuscaloosa,AL,"99,600"
281,Miami Gardens,FL,"111,640"
282,Santa Maria,CA,"109,707"
283,Downey,CA,"114,355"
284,Concord,NC,"105,240"
285,Ventura,CA,"110,763"
286,Costa Mesa,CA,"111,918"
287,Sugar Land,TX,"111,026"
288,Menifee,CA,"102,527"
289,Tyler,TX,"105,995"
290,Sparks,NV,"108,445"
291,Greeley,CO,"108,795"
292,Rio Rancho,NM,"104,046"
293,Sandy Springs,GA,"108,080"
294,Dearborn,MI,"109,976"
295,Jurupa Valley,CA,"105,053"
296,Edison,NJ,"107,588"
297,Spokane Valley,WA,"102,976"
298,Hillsboro,OR,"106,447"
299,Davie,FL,"105,691"
300,Green Bay,WI,"107,395"
301,Centennial,CO,"108,418"
302,Buckeye,AZ,"91,502"
303,Boulder,CO,"108,250"
304,Goodyear,AZ,"95,294"
305,El Monte,CA,"109,450"
306,West Covina,CA,"109,501"
307,Brockton,MA,"105,643"
308,New Braunfels,TX,"90,403"
309,El Cajon,CA,"106,215"
310,Edinburg,TX,"100,243"
311,Renton,WA,"106,785"
312,Burbank,CA,"107,337"
313,Inglewood,CA,"107,762"
314,Rialto,CA,"104,026"
315,Lee's Summit,MO,"101,108"
316,Bend,OR,"99,178"
317,Woodbridge,NJ,"103,639"
318,South Bend,IN,"103,453"
319,Wichita Falls,TX,"102,316"
320,St. George,UT,"95,342"
321,Fishers,IN,"98,977"
322,Carmel,IN,"99,757"
323,Vacaville,CA,"102,386"
324,Quincy,MA,"101,636"
325,Conroe,TX,"89,956"
326,Chico,CA,"101,475"
327,San Mateo,CA,"105,661"
328,Lynn,MA,"101,253"
329,Albany,NY,"99,224"
330,Hesperia,CA,"99,818"
331,New Bedford,MA,"101,079"
332,Davenport,IA,"101,724"
333,Daly City,CA,"104,901"
